code,tradeStatus,code_name
sh.688186,1,广大特材
sh.688188,1,柏楚电子
sh.688190,1,云路股份
sh.688192,1,迪哲医药
sh.688195,1,腾景科技
sh.688197,1,首药控股
sh.688199,1,久日新材
sh.688201,1,信安世纪
sh.688206,1,概伦电子
sh.688208,1,道通科技
sh.688210,1,统联精密
sh.688212,1,澳华内镜
sh.688215,1,瑞晟智能
sh.688217,1,睿昂基因
sh.688219,1,会通股份
sh.688221,1,前沿生物
sh.688223,1,晶科能源
sh.688226,1,威腾电气
sh.688228,1,开普云
sh.688230,1,芯导科技
sh.688233,1,神工股份
sh.688235,1,百济神州
sh.688237,1,
sh.688239,1,航宇科技
sh.688248,1,南网科技
sh.688255,1,凯尔达
sh.688257,1,新锐股份
sh.688259,1,创耀科技
sh.688261,1,东微半导
sh.688265,1,南模生物
sh.688267,1,中触媒
sh.688269,1,凯立新材
sh.688272,1,富吉瑞
sh.688277,1,天智航
sh.688279,1,峰岹科技
sh.688281,1,华秦科技
sh.688283,1,坤恒顺维
sh.688286,1,敏芯股份
sh.688288,1,鸿泉物联
sh.688290,1,景业智能
sh.688296,1,和达科技
sh.688299,1,长阳科技
sh.688301,1,奕瑞科技
sh.688303,1,大全能源
sh.688306,1,均普智能
sh.688309,1,*ST恒誉
sh.688311,1,盟升电子
sh.688313,1,仕佳光子
sh.688315,1,诺禾致源
sh.688317,1,之江生物
sh.688319,1,欧林生物
sh.688321,1,微芯生物
sh.688325,1,赛微微电
sh.688327,1,云从科技
sh.688329,1,艾隆科技
sh.688331,1,荣昌生物
sh.688335,1,复洁环保
sh.688337,1,普源精电
sh.688339,1,亿华通
sh.688348,1,昱能科技
sh.688353,1,
sh.688356,1,键凯科技
sh.688358,1,祥生医疗
sh.688360,1,德马科技
sh.688365,1,光云科技
sh.688367,1,工大高科
sh.688369,1,致远互联
sh.688378,1,奥来德
sh.688383,1,新益昌
sh.688386,1,泛亚微透
sh.688389,1,普门科技
sh.688393,1,安必平
sh.688396,1,华润微
sh.688399,1,硕世生物
sh.688418,1,震有科技
sh.688456,1,有研粉材
sh.688468,1,科美诊断
sh.688499,1,利元亨
sh.688501,1,青达环保
sh.688508,1,芯朋微
sh.688510,1,航亚科技
sh.688513,1,苑东生物
sh.688517,1,金冠电气
sh.688519,1,南亚新材
sh.688521,1,芯原股份
sh.688528,1,秦川物联
sh.688533,1,上声电子
sh.688538,1,和辉光电
sh.688551,1,科威尔
sh.688555,1,泽达易盛
sh.688557,1,兰剑智能
sh.688559,1,海目星
sh.688561,1,奇安信
sh.688566,1,吉贝尔
sh.688568,1,中科星图
sh.688571,1,杭华股份
sh.688577,1,浙海德曼
sh.688579,1,山大地纬
sh.688585,1,上纬新材
sh.688588,1,凌志软件
sh.688590,1,新致软件
sh.688596,1,正帆科技
sh.688598,1,金博股份
sh.688600,1,皖仪科技
sh.688606,1,奥泰生物
sh.688608,1,恒玄科技
sh.688611,1,杭州柯林
sh.688616,1,西力科技
